seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	55681180	55681372	193	*	X0109	23358	55532032	55681039	149008	-	140	upstream	140	USP24
chr1	57045046	57045176	131	*	X0110	8613	56960419	57045257	84839	-	0	inside	80	PLPP3
chr1	59043293	59043319	27	*	X0111	4070	59041095	59043166	2072	-	126	upstream	126	TACSTD2
chr1	59249356	59249465	110	*	X0112	100131060	59250823	59365384	114562	+	1357	upstream	1357	LINC01135
chr1	59762143	59762296	154	*	X0113	55277	59762625	60228402	465778	+	328	upstream	328	FGGY
chr1	61542539	61542616	78	*	X0114	4774	61542946	61928460	385515	+	329	upstream	329	NFIA
chr1	63153737	63153754	18	*	X0117	85440	62920397	63154039	233643	-	0	inside	284	DOCK7
chr1	63153809	63153849	41	*	X0118	85440	62920397	63154039	233643	-	0	inside	189	DOCK7
chr1	63988772	63988839	68	*	X0119	23421	63906441	63988944	82504	-	0	inside	104	ITGB3BP
chr1	63988772	63988839	68	*	X0119	84455	63989013	64038364	49352	+	173	upstream	173	EFCAB7
chr1	63989078	63989260	183	*	X0120	23421	63906441	63988944	82504	-	133	upstream	133	ITGB3BP
chr1	63989078	63989260	183	*	X0120	84455	63989013	64038364	49352	+	0	inside	64	EFCAB7
chr1	68151051	68151230	180	*	X0126	1647	68150860	68154021	3162	+	0	inside	190	GADD45A
chr1	68297655	68297676	22	*	X0129	100289178	68297971	68668670	370700	+	294	upstream	294	GNG12-AS1
chr1	68297968	68298064	97	*	X0130	100289178	68297971	68668670	370700	+	0	overlapStart	0	GNG12-AS1
chr1	70820825	70820872	48	*	X0131	81573	70724685	70820417	95733	-	407	upstream	407	ANKRD13C
chr1	72749178	72749358	181	*	X0132	257194	71868625	72748405	879781	-	772	upstream	772	NEGR1
chr1	72749584	72749592	9	*	X0133	257194	71868625	72748405	879781	-	1178	upstream	1178	NEGR1
chr1	93544950	93544986	37	*	X0136	22823	93544792	93604638	59847	+	0	inside	157	MTF2
chr1	93811151	93811244	94	*	X0137	100131564	93775666	93811368	35703	-	0	inside	123	CCDC18-AS1
chr1	93811151	93811244	94	*	X0137	1810	93811478	93828148	16671	+	233	upstream	233	DR1
chr1	94312817	94312865	49	*	X0140	8412	94027343	94312706	285364	-	110	upstream	110	BCAR3
chr1	94312896	94312950	55	*	X0141	8412	94027343	94312706	285364	-	189	upstream	189	BCAR3
chr1	100503712	100503832	121	*	X0143	64645	100503789	100548929	45141	+	0	overlapStart	0	MFSD14A
chr1	100731873	100731897	25	*	X0144	8634	100731714	100758325	26612	+	0	inside	158	RTCA
chr1	109584498	109584748	251	*	X0147	22911	109512838	109584850	72013	-	0	inside	101	WDR47
chr1	109584761	109584800	40	*	X0148	22911	109512838	109584850	72013	-	0	inside	49	WDR47
chr1	109642905	109643115	211	*	X0149	677766	109642815	109643234	420	+	0	inside	89	SCARNA2
chr1	109656202	109656273	72	*	X0151	127003	109648573	109656479	7907	-	0	inside	205	C1orf194
chr1	109656202	109656273	72	*	X0151	57535	109656585	109749403	92819	+	311	upstream	311	KIAA1324
chr1	110880900	110880911	12	*	X0153	64783	110881945	110889303	7359	+	1033	upstream	1033	RBM15
chr1	112298563	112298656	94	*	X0155	55924	112264686	112298419	33734	-	143	upstream	143	INKA2
chr1	113499060	113499122	63	*	X0156	6566	113454470	113498975	44506	-	84	upstream	84	SLC16A1
chr1	114447983	114448036	54	*	X0157	10717	114437371	114447741	10371	-	241	upstream	241	AP4B1
chr1	114447983	114448036	54	*	X0157	64858	114447915	114456708	8794	+	0	inside	67	DCLRE1B
chr1	114472062	114472078	17	*	X0158	204851	114471996	114520491	48496	+	0	inside	65	HIPK1
chr1	115053907	115054067	161	*	X0159	51592	114935399	115053781	118383	-	125	upstream	125	TRIM33
chr1	116654385	116654400	16	*	X0160	126868	116654376	116677861	23486	+	0	inside	8	MAB21L3
chr1	116654437	116654615	179	*	X0161	126868	116654376	116677861	23486	+	0	inside	60	MAB21L3
chr1	120190666	120190681	16	*	X0162	90874	120162000	120190390	28391	-	275	upstream	275	ZNF697
chr1	145039732	145039837	106	*	X0169	653513	144676437	145039992	363556	-	0	inside	154	LOC653513
chr1	145040086	145040103	18	*	X0170	653513	144676437	145039992	363556	-	93	upstream	93	LOC653513
chr1	145040272	145040297	26	*	X0171	653513	144676437	145039992	363556	-	279	upstream	279	LOC653513
chr1	145611184	145611248	65	*	X0176	10623	145592605	145610884	18280	-	299	upstream	299	POLR3C
chr1	145611184	145611248	65	*	X0176	27246	145611036	145688776	77741	+	0	inside	147	RNF115
chr1	146644404	146644419	16	*	X0177	5565	146626685	146644129	17445	-	274	upstream	274	PRKAB2
chr1	149858542	149858620	79	*	X0187	8338	149858525	149858961	437	+	0	inside	16	H2AC20
chr1	149858542	149858620	79	*	X0187	8349	149856010	149858232	2223	-	309	upstream	309	H2BC21
chr1	150039435	150039739	305	*	X0188	11311	150039342	150117505	78164	+	0	inside	92	VPS45
chr1	151042906	151042915	10	*	X0191	126626	151043080	151091007	47928	+	164	upstream	164	GABPB2
chr1	152009389	152009483	95	*	X0193	6282	152004982	152009511	4530	-	0	inside	27	S100A11
chr1	153517953	153517988	36	*	X0194	6275	153516095	153518282	2188	-	0	inside	293	S100A4
chr1	153518157	153518232	76	*	X0195	6275	153516095	153518282	2188	-	0	inside	49	S100A4
chr1	154531405	154531622	218	*	X0197	55585	154521051	154531120	10070	-	284	upstream	284	UBE2Q1
chr1	154973681	154973694	14	*	X0199	51043	154975106	154991001	15896	+	1411	upstream	1411	ZBTB7B
chr1	155098438	155098458	21	*	X0200	1942	155100349	155107386	7038	+	1890	upstream	1890	EFNA1
chr1	155098494	155098722	229	*	X0201	1942	155100349	155107386	7038	+	1626	upstream	1626	EFNA1
chr1	155658189	155658204	16	*	X0202	7818	155658882	155708800	49919	+	677	upstream	677	DAP3
chr1	155658320	155658485	166	*	X0203	7818	155658882	155708800	49919	+	396	upstream	396	DAP3
chr1	155829658	155829847	190	*	X0204	54856	155719510	155829191	109682	-	466	upstream	466	GON4L
chr1	156470348	156470364	17	*	X0209	4209	156433513	156470634	37122	-	0	inside	269	MEF2D
chr1	156676609	156676622	14	*	X0210	1382	156669400	156675608	6209	-	1000	upstream	1000	CRABP2
chr1	156711263	156711298	36	*	X0211	79590	156707094	156710923	3830	-	339	upstream	339	MRPL24
chr1	156830408	156830532	125	*	X0214	3645	156810665	156828712	18048	-	1695	upstream	1695	INSRR
chr1	158968779	158968868	90	*	X0216	3428	158969758	159024945	55188	+	889	upstream	889	IFI16
chr1	158968897	158968907	11	*	X0217	3428	158969758	159024945	55188	+	850	upstream	850	IFI16
chr1	161016229	161016251	23	*	X0218	7391	161009041	161015769	6729	-	459	upstream	459	USF1
chr1	161493829	161493886	58	*	X0222	3310	161494036	161496687	2652	+	149	upstream	149	HSPA6
chr1	161493984	161493996	13	*	X0223	3310	161494036	161496687	2652	+	39	upstream	39	HSPA6
chr1	161494010	161494117	108	*	X0224	3310	161494036	161496687	2652	+	0	overlapStart	0	HSPA6
chr1	164528814	164528877	64	*	X0226	5087	164528597	164854300	325704	+	0	inside	216	PBX1
chr1	165600127	165600176	50	*	X0227	4259	165600110	165625372	25263	+	0	inside	16	MGST3
chr1	165667624	165667790	167	*	X0229	223	165631449	165667900	36452	-	0	inside	109	ALDH9A1
chr1	165667624	165667790	167	*	X0229	440700	165667987	165679199	11213	+	196	upstream	196	LOC440700
chr1	167905947	167906055	109	*	X0230	25874	167885913	167906307	20395	-	0	inside	251	MPC2
chr1	167905947	167906055	109	*	X0230	55827	167905797	168045083	139287	+	0	inside	149	DCAF6
chr1	169075928	169076012	85	*	X0232	481	169075947	169101960	26014	+	0	overlapStart	0	ATP1B1
chr1	171454684	171454803	120	*	X0235	23215	171454666	171562650	107985	+	0	inside	17	PRRC2C
chr1	171711345	171711472	128	*	X0236	8674	171669296	171711379	42084	-	0	overlapStart	0	VAMP4
chr1	173793363	173793384	22	*	X0237	55157	173793797	173827682	33886	+	412	upstream	412	DARS2
chr1	173793456	173793514	59	*	X0238	55157	173793797	173827682	33886	+	282	upstream	282	DARS2
chr1	173793456	173793514	59	*	X0238	91687	173768688	173793777	25090	-	0	inside	262	CENPL
chr1	182758487	182758530	44	*	X0240	80896	182758584	182799519	40936	+	53	upstream	53	NPL
chr1	182758547	182758732	186	*	X0241	80896	182758584	182799519	40936	+	0	overlapStart	0	NPL
chr1	183441706	183441781	76	*	X0243	284649	183430011	183441117	11107	-	588	upstream	588	SMG7-AS1
chr1	183441706	183441781	76	*	X0243	9887	183441506	183523328	81823	+	0	inside	199	SMG7
chr1	183441822	183441838	17	*	X0244	284649	183430011	183441117	11107	-	704	upstream	704	SMG7-AS1
chr1	183441929	183442032	104	*	X0245	284649	183430011	183441117	11107	-	811	upstream	811	SMG7-AS1
chr1	183604759	183604762	4	*	X0246	23179	183605208	183897666	292459	+	445	upstream	445	RGL1
chr1	186344222	186344254	33	*	X0247	54953	186344890	186390503	45614	+	635	upstream	635	ODR4
chr1	192777901	192777936	36	*	X0248	5997	192778169	192781407	3239	+	232	upstream	232	RGS2
chr1	197170775	197170778	4	*	X0250	23418	197170592	197447585	276994	+	0	inside	182	CRB1
chr1	197170775	197170778	4	*	X0250	360023	197122814	197169672	46859	-	1102	upstream	1102	ZBTB41
chr1	197871612	197871897	286	*	X0251	388722	197871682	197876497	4816	+	0	overlapStart	0	C1orf53
chr1	201437943	201438004	62	*	X0254	23612	201434607	201438299	3693	-	0	inside	294	PHLDA3
chr1	201617709	201617820	112	*	X0256	89796	201617450	201796102	178653	+	0	inside	258	NAV1
chr1	202777466	202777744	279	*	X0258	10765	202696532	202777549	81018	-	0	overlapStart	0	KDM5B
chr1	202779826	202779848	23	*	X0259	100506696	202780074	202781041	968	+	225	upstream	225	PCAT6
chr1	203274693	203274766	74	*	X0261	730227	203267886	203274453	6568	-	239	upstream	239	LINC01136
chr1	203274693	203274766	74	*	X0261	7832	203274664	203278729	4066	+	0	inside	28	BTG2
chr1	203765150	203765171	22	*	X0262	100381270	203766651	203769590	2940	+	1479	upstream	1479	ZBED6
chr1	203765192	203765231	40	*	X0263	100381270	203766651	203769590	2940	+	1419	upstream	1419	ZBED6
chr1	205180254	205180512	259	*	X0268	25778	205111631	205180727	69097	-	0	inside	214	DSTYK
chr1	207494235	207494302	68	*	X0271	1604	207494817	207534311	39495	+	514	upstream	514	CD55
chr1	208417514	208417684	171	*	X0272	5362	208195588	208417665	222078	-	0	overlapStart	0	PLXNA2
chr1	210407716	210407765	50	*	X0273	574036	210404804	210407466	2663	-	249	upstream	249	SERTAD4-AS1
chr1	211555926	211555960	35	*	X0274	84791	211556097	211605877	49781	+	136	upstream	136	LINC00467
chr1	211752411	211752452	42	*	X0275	7779	211748381	211752099	3719	-	311	upstream	311	SLC30A1
chr1	212458813	212459133	321	*	X0276	5525	212458879	212535205	76327	+	0	overlapStart	0	PPP2R5A
chr1	212459145	212459278	134	*	X0277	5525	212458879	212535205	76327	+	0	inside	265	PPP2R5A
chr1	212965311	212965405	95	*	X0279	128387	212965170	212990167	24998	+	0	inside	140	TATDN3
chr1	212965311	212965405	95	*	X0279	25936	212899495	212965139	65645	-	171	upstream	171	NSL1
chr1	214454200	214454264	65	*	X0280	56950	214454565	214510477	55913	+	300	upstream	300	SMYD2
chr1	215740596	215740836	241	*	X0282	51133	215740735	215795149	54415	+	0	overlapStart	0	KCTD3
chr1	220267483	220267605	123	*	X0283	55699	220267455	220321383	53929	+	0	inside	27	IARS2
chr1	220267635	220267696	62	*	X0284	55699	220267455	220321383	53929	+	0	inside	179	IARS2
chr1	222885924	222885943	20	*	X0287	148362	222885906	222906106	20201	+	0	inside	17	BROX
chr1	222886484	222886507	24	*	X0288	64853	222841355	222886526	45172	-	0	inside	18	AIDA
chr1	222988505	222988613	109	*	X0289	84976	222988431	223179337	190907	+	0	inside	73	DISP1
chr1	224033954	224033967	14	*	X0294	7159	223967595	224033674	66080	-	279	upstream	279	TP53BP2
chr1	225117235	225117379	145	*	X0298	127602	225117356	225586996	469641	+	0	overlapStart	0	DNAH14
chr1	225997687	225997708	22	*	X0299	2052	225997797	226033262	35466	+	88	upstream	88	EPHX1
chr1	228645120	228645154	35	*	X0304	128312	228645808	228646259	452	+	653	upstream	653	H2BU1
chr1	228646249	228646270	22	*	X0305	92815	228645065	228645560	496	-	688	upstream	688	H2AW
chr1	228646288	228646523	236	*	X0306	92815	228645065	228645560	496	-	727	upstream	727	H2AW
chr1	228674273	228674314	42	*	X0307	149603	228675068	228683889	8822	+	753	upstream	753	RNF187
chr1	228674391	228674413	23	*	X0308	149603	228675068	228683889	8822	+	654	upstream	654	RNF187
chr1	228674427	228674437	11	*	X0309	149603	228675068	228683889	8822	+	630	upstream	630	RNF187
chr1	228674822	228674850	29	*	X0310	149603	228675068	228683889	8822	+	217	upstream	217	RNF187
chr1	229406629	229406793	165	*	X0311	5867	229406809	229441640	34832	+	15	upstream	15	RAB4A
chr1	229694570	229694671	102	*	X0312	23456	229652329	229694442	42114	-	127	upstream	127	ABCB10
chr1	229694884	229695018	135	*	X0313	23456	229652329	229694442	42114	-	441	upstream	441	ABCB10
chr1	229761246	229761276	31	*	X0314	9816	229761981	229795946	33966	+	704	upstream	704	URB2
chr1	229761307	229761368	62	*	X0315	9816	229761981	229795946	33966	+	612	upstream	612	URB2
chr1	229761932	229762053	122	*	X0316	27097	229728866	229761794	32929	-	137	upstream	137	TAF5L
chr1	229761932	229762053	122	*	X0316	9816	229761981	229795946	33966	+	0	overlapStart	0	URB2
chr1	230562584	230562592	9	*	X0317	79605	230457392	230561674	104283	-	909	upstream	909	PGBD5
chr1	230778387	230778426	40	*	X0318	22796	230778202	230829731	51530	+	0	inside	184	COG2
chr1	234746140	234746163	24	*	X0323	359948	234740015	234745271	5257	-	868	upstream	868	IRF2BP2
chr1	235292446	235292458	13	*	X0324	677802	235291118	235291252	135	-	1193	upstream	1193	SNORA14B
chr1	235292446	235292458	13	*	X0324	9804	235272658	235292256	19599	-	189	upstream	189	TOMM20
chr1	236228803	236228836	34	*	X0327	4811	236139132	236228481	89350	-	321	upstream	321	NID1
chr1	236305959	236306084	126	*	X0328	7107	236305832	236372209	66378	+	0	inside	126	GPR137B
chr1	236958734	236959081	348	*	X0329	4548	236958581	237067281	108701	+	0	inside	152	MTR
chr1	241682793	241682996	204	*	X0332	2271	241660857	241683085	22229	-	0	inside	88	FH
chr1	241803761	241803783	23	*	X0333	23596	241756452	241803701	47250	-	59	upstream	59	OPN3
chr1	241803811	241803856	46	*	X0334	23596	241756452	241803701	47250	-	109	upstream	109	OPN3
chr1	243418442	243418483	42	*	X0336	10806	243419307	243663393	244087	+	823	upstream	823	SDCCAG8
chr1	243418442	243418483	42	*	X0336	9859	243287730	243418708	130979	-	0	inside	224	CEP170
chr1	244816568	244816707	140	*	X0338	51029	244816352	244872334	55983	+	0	inside	215	DESI2
chr1	244998072	244998154	83	*	X0339	116228	244998639	245008359	9721	+	484	upstream	484	COX20
chr1	244998181	244998528	348	*	X0340	116228	244998639	245008359	9721	+	110	upstream	110	COX20
chr1	247095002	247095258	257	*	X0342	25909	247002402	247094726	92325	-	275	upstream	275	AHCTF1
chr1	249132644	249132996	353	*	X0343	79894	249132530	249143714	11185	+	0	inside	113	ZNF672
chr1	249200387	249200644	258	*	X0344	267002	249200442	249213345	12904	+	0	overlapStart	0	PGBD2
chr2	263693	263786	94	*	X0346	52	264869	278282	13414	+	1082	upstream	1082	ACP1
chr2	263802	263841	40	*	X0347	52	264869	278282	13414	+	1027	upstream	1027	ACP1
chr2	3523133	3523203	71	*	X0354	55256	3501690	3523350	21661	-	0	inside	146	ADI1
chr2	9614748	9614810	63	*	X0357	285148	9614670	9636672	22003	+	0	inside	77	IAH1
chr2	9614825	9614842	18	*	X0358	285148	9614670	9636672	22003	+	0	inside	154	IAH1
chr2	9771620	9771721	102	*	X0359	10971	9724106	9771106	47001	-	513	upstream	513	YWHAQ
chr2	10587787	10587819	33	*	X0360	100302743	10586840	10586975	136	-	811	upstream	811	SNORA80B
chr2	11295822	11295844	23	*	X0362	130814	11295540	11318998	23459	+	0	inside	281	SLC66A3
chr2	15701247	15701567	321	*	X0365	51594	15307032	15701472	394441	-	0	overlapStart	0	NBAS
chr2	16080963	16081056	94	*	X0366	4613	16080683	16087129	6447	+	0	inside	279	MYCN
chr2	19548265	19548286	22	*	X0367	100616307	19548190	19548266	77	+	0	overlapEnd	74	MIR4757
chr2	20646942	20646989	48	*	X0368	388	20646835	20649201	2367	+	0	inside	106	RHOB
chr2	24149760	24149910	151	*	X0371	165324	24150155	24223693	73539	+	244	upstream	244	UBXN2A
chr2	24149760	24149910	151	*	X0371	54454	23971534	24149936	178403	-	0	inside	25	ATAD2B
chr2	24299063	24299143	81	*	X0372	375190	24299728	24397519	97792	+	584	upstream	584	FAM228B
chr2	24299063	24299143	81	*	X0372	51639	24290454	24299314	8861	-	0	inside	170	SF3B6
chr2	25897010	25897026	17	*	X0373	1838	25600067	25896516	296450	-	493	upstream	493	DTNB
chr2	26569117	26569140	24	*	X0374	85465	26568954	26618759	49806	+	0	inside	162	SELENOI
chr2	27273543	27273626	84	*	X0375	60509	27274491	27293490	19000	+	864	upstream	864	AGBL5
chr2	27273720	27273863	144	*	X0376	60509	27274491	27293490	19000	+	627	upstream	627	AGBL5
chr2	27273965	27274021	57	*	X0377	60509	27274491	27293490	19000	+	469	upstream	469	AGBL5
chr2	28974307	28974396	90	*	X0378	5500	28974612	29025806	51195	+	215	upstream	215	PPP1CB
chr2	28974438	28974463	26	*	X0379	5500	28974612	29025806	51195	+	148	upstream	148	PPP1CB
chr2	32581784	32581809	26	*	X0381	57448	32582096	32843965	261870	+	286	upstream	286	BIRC6
chr2	38152517	38152531	15	*	X0382	151393	38152462	38294285	141824	+	0	inside	54	RMDN2
chr2	38152546	38152571	26	*	X0383	151393	38152462	38294285	141824	+	0	inside	83	RMDN2
chr2	38977548	38977644	97	*	X0384	79833	38978676	39009106	30431	+	1031	upstream	1031	GEMIN6
chr2	38977657	38977709	53	*	X0385	79833	38978676	39009106	30431	+	966	upstream	966	GEMIN6
chr2	38978190	38978414	225	*	X0386	6432	38970741	38978636	7896	-	0	inside	221	SRSF7
chr2	38978190	38978414	225	*	X0386	79833	38978676	39009106	30431	+	261	upstream	261	GEMIN6
chr2	54013958	54014214	257	*	X0388	27248	54014068	54045956	31889	+	0	overlapStart	0	ERLEC1
chr2	62081306	62081339	34	*	X0390	84140	62051983	62081278	29296	-	27	upstream	27	FAM161A
chr2	62115627	62115685	59	*	X0391	10575	62095262	62115806	20545	-	0	inside	120	CCT4
chr2	64880915	64880977	63	*	X0396	9792	64858755	64881046	22292	-	0	inside	68	SERTAD2
chr2	70476294	70476312	19	*	X0400	7072	70436576	70475779	39204	-	514	upstream	514	TIA1
chr2	73052956	73053045	90	*	X0403	23233	72406444	73053177	646734	-	0	inside	131	EXOC6B
chr2	74154100	74154178	79	*	X0404	1716	74153953	74186088	32136	+	0	inside	146	DGUOK
chr2	74154195	74154207	13	*	X0405	1716	74153953	74186088	32136	+	0	inside	241	DGUOK
chr2	74699670	74699821	152	*	X0408	116540	74699085	74699942	858	-	0	inside	120	MRPL53
chr2	85766729	85767003	275	*	X0409	100630918	85764590	85766009	1420	-	719	upstream	719	PARTICL
chr2	85829931	85830009	79	*	X0410	10713	85829965	85876407	46443	+	0	overlapStart	0	USP39
chr2	85829931	85830009	79	*	X0410	129303	85825670	85829822	4153	-	108	upstream	108	TMEM150A
chr2	86422565	86422600	36	*	X0414	10989	86371055	86422893	51839	-	0	inside	292	IMMT
chr2	86422619	86422623	5	*	X0415	10989	86371055	86422893	51839	-	0	inside	269	IMMT
chr2	86667679	86667743	65	*	X0416	55818	86668271	86719839	51569	+	527	upstream	527	KDM3A
chr2	86790351	86790398	48	*	X0417	51652	86730553	86790620	60068	-	0	inside	221	CHMP3
chr2	97779404	97779421	18	*	X0419	375248	97779233	97930257	151025	+	0	inside	170	ANKRD36
chr2	98612319	98612377	59	*	X0420	23505	98372801	98612354	239554	-	0	overlapStart	0	TMEM131
chr2	98612578	98612642	65	*	X0421	23505	98372801	98612354	239554	-	223	upstream	223	TMEM131
chr2	99953084	99953112	29	*	X0423	9669	99953834	100016728	62895	+	721	upstream	721	EIF5B
chr2	101618741	101618855	115	*	X0424	6160	101618691	101636155	17465	+	0	inside	49	RPL31
chr2	109403194	109403194	1	*	X0425	165055	109403219	109492847	89629	+	24	upstream	24	CCDC138
chr2	113032819	113032861	43	*	X0427	376940	113033178	113097640	64463	+	316	upstream	316	ZC3H6
chr2	113341889	113341948	60	*	X0428	84269	113342036	113346850	4815	+	87	upstream	87	CHCHD5
chr2	114341278	114341505	228	*	X0429	375260	114341230	114356613	15384	+	0	inside	47	WASH2P
chr2	121493349	121493527	179	*	X0430	2736	121493199	121750229	257031	+	0	inside	149	GLI2
chr2	131485630	131485652	23	*	X0442	344561	131486643	131487909	1267	+	990	upstream	990	GPR148
chr2	157189103	157189224	122	*	X0447	4929	157180944	157189287	8344	-	0	inside	62	NR4A2
chr2	158732729	158732767	39	*	X0450	90	158592958	158732374	139417	-	354	upstream	354	ACVR1
chr2	159314357	159314624	268	*	X0451	130940	159027869	159313265	285397	-	1091	upstream	1091	CCDC148
